headlines,sentiments,page,president
Inflation inches up to 1.3% in November 2019,Angry, Page: 30,Duterte
Salary increase in Philippines seen to outpace inflation in 2020,Happy, Page: 30,Duterte
World Bank loans Philippines $300 million for conditional cash transfers,Happy, Page: 30,Duterte
Start of 'ber' months boost overseas remittances,Amused, Page: 30,Duterte
"Trump hails economic boom, says China trade deal is 'close'",Amused, Page: 30,Duterte
China says it agreed with U.S. to remove tariffs if trade deal progresses,Amused, Page: 30,Duterte
Philippine GDP growth jumps to 6.2% in Q3 2019,Happy, Page: 30,Duterte
"World Bank urges Lebanon to form gov't, warns of recession",People are divided, Page: 30,Duterte
"Imports, exports down in September 2019",Don't Care, Page: 30,Duterte
U.S. trade deficit takes biggest tumble in 8 months,Sad, Page: 30,Duterte
Filipinos shift to chicken and beef as African swine fever spreads,Angry, Page: 31,Duterte
Inflation further slows to 0.8% in October 2019,Happy, Page: 31,Duterte
India will not join RCEP trade deal in blow to sprawling Asian pact,Happy, Page: 31,Duterte
"Hong Kong plunges into recession as protests, trade war take toll",Sad, Page: 31,Duterte
U.S. Fed lowers key interest rate as 'insurance' against economic risks,People are divided, Page: 31,Duterte
"Global leaders, tycoons flock to Saudi 'Davos in desert'",Happy, Page: 31,Duterte
Bangko Sentral cuts banks' reserve requirement anew to support growth,Afraid, Page: 31,Duterte
Teenage pregnancy dragging PH economic growth – Pernia,Sad, Page: 31,Duterte
"Expensive, too much work: Duterte’s team rethinks infra projects",Angry, Page: 31,Duterte
Former IMF chief Lagarde takes swipe at Trump's Twitter habits,Happy, Page: 32,Duterte
Port of Subic recognizes top 20 'revenue contributors',People are divided, Page: 32,Duterte
"U.S. imposes tariffs on EU goods, targeting Airbus, wine and whisky",Amused, Page: 32,Duterte
"China's growth slows to 6% in third quarter, weakest in 27 years",Happy, Page: 32,Duterte
"IMF sharply cuts Iran, Saudi growth forecasts for 2019",Sad, Page: 32,Duterte
EU and UK scramble for Brexit deal on eve of key summit,People are divided, Page: 32,Duterte
"IMF cuts 2019, 2020 eurozone growth outlook as Germany lags",Sad, Page: 32,Duterte
IMF trims 2019 China growth forecast as U.S. tariffs bite,Happy, Page: 32,Duterte
"Global economic outlook 'precarious,' no room for mistakes, IMF warns",Don't Care, Page: 32,Duterte
China inflation surges in September 2019 as pork prices soar,Happy, Page: 32,Duterte
"China imports, exports down in September 2019 as growth cools",Happy, Page: 33,Duterte
"Singapore eases monetary policy, avoids recession",People are divided, Page: 33,Duterte
Partial U.S.-China trade deal only 'baby step' as thorny issues remain,Afraid, Page: 33,Duterte
PH expects higher turnout at world’s biggest trade fair,Happy, Page: 33,Duterte
Foreign direct investments drop 41% in July 2019,Sad, Page: 33,Duterte
Philippines to miss 2019 economic growth target – World Bank,Angry, Page: 33,Duterte
"U.S., China resume trade talks amid uncertainty",Sad, Page: 33,Duterte
August 2019 trade figures point to Q3 GDP growth struggle,Sad, Page: 33,Duterte
Zimbabwe quadruples electricity price as crisis deepens,Angry, Page: 33,Duterte
"PH health care, infra, institutions among worst in the world – WEF",Angry, Page: 33,Duterte
New IMF chief Georgieva says world suffering 'synchronized slowdown',Angry, Page: 34,Duterte
U.S. blacklists 28 Chinese entities over abuses in Xinjiang,Inspired, Page: 34,Duterte
"As U.S. factories falter, White House insists economy like 'a rock'",Sad, Page: 34,Duterte
Inflation cools to 0.9% as rice prices drop in September 2019,Happy, Page: 34,Duterte
Developing country debt jumps to $7.8 trillion in 2018 – World Bank,Sad, Page: 34,Duterte
Zimbabwe's leader begs for patience to fix ailing economy,Angry, Page: 34,Duterte
Saudi prince says war with Iran would gut world economy,Angry, Page: 34,Duterte
Metro Manila 'most congested city' in developing Asia,Angry, Page: 34,Duterte
U.N. calls for 'Global Green New Deal' to boost world economy,Annoyed, Page: 34,Duterte
Kristalina Georgieva named IMF managing director,Happy, Page: 34,Duterte
ADB sees Philippines still hitting 2019 economic growth target,Happy, Page: 35,Duterte
Business groups in favor of easing restrictions on foreign investments,Happy, Page: 35,Duterte
Over $1 billion in hot money flees Philippines,Sad, Page: 35,Duterte
"More jobs, higher pay turn consumers upbeat in Q3 2019",, Page: 35,Duterte
"Rice tariffication, EDSA bus ban down business confidence in Q3 2019",Angry, Page: 35,Duterte
"U.S. Fed cuts key interest rate a quarter point, citing 'uncertainties'",Afraid, Page: 35,Duterte
Online gambling contributes P551 billion to Philippine economy yearly,Angry, Page: 35,Duterte
OFW remittances recover in July 2019,Happy, Page: 35,Duterte
China removes several U.S. products from tariffs list,Happy, Page: 35,Duterte
South Korea to file WTO complaint over Japan's export curbs,Amused, Page: 35,Duterte
American poverty fell in 2018 but more lack health insurance – U.S. Census,Inspired, Page: 36,Duterte
The state of Britain's economy as Brexit looms,Afraid, Page: 36,Duterte
Foreign direct investments drop by 48.5% in June 2019,Afraid, Page: 36,Duterte
Philippine total trade declines by 1.3% in July 2019,Inspired, Page: 36,Duterte
MAP: Palay prices in the Philippines,Sad, Page: 36,Duterte
Why Mimaropa's inflation rate remains higher than Philippine average,Sad, Page: 36,Duterte
"IN CHARTS: Despite slower growth, employment improves in July 2019",Inspired, Page: 36,Duterte
"U.S., China to resume trade talks in Washington in October",Happy, Page: 36,Duterte
Rising U.S. exports shrink trade deficit; China imports fall,Inspired, Page: 36,Duterte
"U.S. sees 'modest' growth, businesses show 'near-term' optimism – Fed",Inspired, Page: 36,Duterte
Inflation continues downtrend at 1.7% in August 2019,Happy, Page: 37,Duterte
Trump hardens tone on China as trade war rattles economy,Inspired, Page: 37,Duterte
Dubai economic slump to persist until 2022 – S&P,Happy, Page: 37,Duterte
Trump moving ahead with new tariffs on Chinese products,Happy, Page: 37,Duterte
"U.S.-China trade war deteriorates, as Trump lashes out at Beijing",Happy, Page: 37,Duterte
How Hong Kong's protests are affecting its economy,Amused, Page: 37,Duterte
"Britain, South Korea sign Brexit trade deal",Happy, Page: 37,Duterte
Pernia to Congress: Pass 2020 budget on time to ensure economic growth,Happy, Page: 37,Duterte
IMF tells Trump: It's not working,Annoyed, Page: 37,Duterte
Foreign direct investments slower by 85% in May 2019,Afraid, Page: 37,Duterte
South Korea tightens export controls on Japan in trade row,Don't Care, Page: 38,Duterte
Brexit turmoil drives UK economy towards recession,Angry, Page: 38,Duterte
Pernia lists steps to improve disappointing Philippine GDP growth,Amused, Page: 38,Duterte
Bangko Sentral cuts interest rates as growth slows down,Don't Care, Page: 38,Duterte
Philippine GDP growth still below target at 5.5% in Q2 2019,Sad, Page: 38,Duterte
"Agricultural output worsens, contracts by 1.27% in Q2 2019",Sad, Page: 38,Duterte
Trade gap narrows in June 2019 as Philippines imports less steel,Happy, Page: 38,Duterte
Inflation remains low at 2.4% in July 2019,Happy, Page: 38,Duterte
U.S. Fed cuts key interest rate to 'insure' against global uncertainties,Amused, Page: 38,Duterte
Eurozone growth slows to 0.2% in Q2 2019,Inspired, Page: 38,Duterte
"Hong Kong growth stalls in Q2 2019 amid trade war, protests",Sad, Page: 39,Duterte
U.S. Fed to join ranks of other central banks in stimulating economy,Afraid, Page: 39,Duterte
"U.S. economic growth slows in Q2 2019, 2018 falls below Trump target",Afraid, Page: 39,Duterte
PH more likely to be upper-middle income in 2020 – Pernia,Angry, Page: 39,Duterte
IMF slashes Mideast growth projections over Iran sanctions,People are divided, Page: 39,Duterte
"IMF downgrades world growth, warns of 'precarious' 2020",People are divided, Page: 39,Duterte
China importers 'seek to lift tariffs' on U.S. farm goods,Happy, Page: 39,Duterte
"Africa poses critical challenge for World Bank, IMF",Sad, Page: 39,Duterte
Duterte's economic team sees stable inflation until his term ends,Afraid, Page: 39,Duterte
ADB again lowers Philippine economic growth forecast for 2019,Angry, Page: 39,Duterte
Overseas Filipino remittances rise to $13.7 billion in January-May 2019,Happy, Page: 40,Duterte
Trump's favorite parts of U.S. economy are also the weakest,Amused, Page: 40,Duterte
Foreign direct investments slump again in April 2019,Sad, Page: 40,Duterte
BOI-approved pledges only at around 30% of goal in mid-2019,Sad, Page: 40,Duterte
Trade deficit narrows in May 2019 as imports drop,Happy, Page: 40,Duterte
Recto: All Chinese workers in PH must pay taxes,Happy, Page: 40,Duterte
Inflation slows down to 2.7% in June 2019,Happy, Page: 40,Duterte
Living in Manila just got pricier for expats,Happy, Page: 40,Duterte
"Inflation, water crisis weaken consumer outlook in Q2 2019",Sad, Page: 40,Duterte
Trade negotiators hold talks ahead of Xi-Trump meeting,Angry, Page: 40,Duterte
Duterte asks Thai businessmen to invest more in PH,Amused, Page: 41,Duterte
"Bangko Sentral keeps interest rates steady, cuts inflation forecasts",Happy, Page: 41,Duterte
U.S. Fed opens door to rate cut amid growing 'uncertainties',Happy, Page: 41,Duterte
"Reforms, transparency needed for Belt and Road success – World Bank",Afraid, Page: 41,Duterte
Philippines to fast-track costlier projects ahead of income status upgrade,Happy, Page: 41,Duterte
Hong Kong stocks rally after extradition law U-turn as Asian markets bounce,Happy, Page: 41,Duterte
"From apples to almonds, India hikes tariffs on U.S. goods",Sad, Page: 41,Duterte
China inflation hits highest level in 15 months,Happy, Page: 41,Duterte
BOI-approved investments jump by 40% in January-May 2019,Happy, Page: 41,Duterte
G20 says worsening trade wars pose risk to world economy,People are divided, Page: 41,Duterte
IMF upgrades U.S. growth forecast but warns of rising risks,Sad, Page: 42,Duterte
IMF's Lagarde: Resolving trade tensions 'immediate priority' for G20,Sad, Page: 42,Duterte
"Foreign, local approved investments jump to P274.2 billion in Q1 2019",Happy, Page: 42,Duterte
IMF slightly lowers China's 2019 GDP growth forecast to 6.2%,Happy, Page: 42,Duterte
Weak El Niño caused inflation uptick in May 2019 – NEDA,Annoyed, Page: 42,Duterte
Philippine employment figures improve in April 2019,Happy, Page: 42,Duterte
World Bank slashes 2019 growth as global trade slackens,Afraid, Page: 42,Duterte
Inflation inches up to 3.2% in May 2019,Sad, Page: 42,Duterte
"Philippines, South Korea begin free trade deal talks",Happy, Page: 42,Duterte
"IN CHARTS: Rich Philippine regions get richer, poor ones barely improve",Sad, Page: 42,Duterte
"Venezuela claims 130,000% inflation, below international estimates",Sad, Page: 43,Duterte
Philippines still lags in 2019 IMD World Competitiveness Ranking,Sad, Page: 43,Duterte
"Budget delay kept 420,000 Filipinos poor – economic team",Angry, Page: 43,Duterte
IMF warns U.S.-China trade war will 'jeopardize' 2019 global growth,Afraid, Page: 43,Duterte
Duterte signs Bangko Sentral's gold bill into law,Angry, Page: 43,Duterte
OECD cuts global growth forecast as U.S.-China tensions rise,Sad, Page: 43,Duterte
IMF aid programs mostly help but need fine-tuning – report,Sad, Page: 43,Duterte
"Saudi, UAE see sufficient oil supplies, rising stocks",Sad, Page: 43,Duterte
Foreign direct investments up by 20% in February 2019,Happy, Page: 43,Duterte
U.S.-China trade talks resume; Trump says deal still 'possible',Happy, Page: 43,Duterte
"Bangko Sentral cuts interest rates as inflation, growth slow down",Happy, Page: 44,Duterte
"Weak demand, U.S.-China trade war hamper Philippines' top export",Sad, Page: 44,Duterte
EXPLAINER: What's in it for us if the PH has good credit ratings?,Happy, Page: 44,Duterte
Philippine GDP growth drops to 4-year low in Q1 2019,Angry, Page: 44,Duterte
Rappler Talk: JC Punongbayan on PH economy and 2019 elections,Annoyed, Page: 44,Duterte
IMF chief says U.S.-China tensions 'threat' to world economy,Afraid, Page: 44,Duterte
Inflation again settles within target at 3% in April 2019,Happy, Page: 44,Duterte
U.S. Federal Reserve leaves key rate unchanged amid mixed economic signals,Afraid, Page: 44,Duterte
Italy emerges from recession in 1st quarter of 2019,Happy, Page: 44,Duterte
S&P upgrades Philippine credit rating to BBB+,Happy, Page: 44,Duterte
"Abe, Trudeau extol Pacific trade pact without U.S.",Inspired, Page: 45,Duterte
Northern Mindanao economy grows to 7% in 2018,Amused, Page: 45,Duterte
Bicol posts fastest economic growth among regions in 2018,Happy, Page: 45,Duterte
"Fitch cuts Philippine economic growth forecasts for 2019, 2020",Sad, Page: 45,Duterte
"PH to get $10B in deals, investments from Duterte's China visit – DTI",Happy, Page: 45,Duterte
Arroyo on PH-China economic ties: Better than ever,Angry, Page: 45,Duterte
Inflation nightmare returns to haunt Zimbabwe,Sad, Page: 45,Duterte
"Philippines, South Korea to pursue free trade agreement",Happy, Page: 45,Duterte
EU countries approve launch of U.S. trade talks,People are divided, Page: 45,Duterte
Lopez: Philippines assured of preferential market access to UK post-Brexit,Inspired, Page: 45,Duterte
"Philippine exports drop, imports rise in February 2019",Sad, Page: 46,Duterte
Foreign direct investments plummet by 38.2% in January 2019,Angry, Page: 46,Duterte
Philippine poverty incidence down in first half of 2018,Happy, Page: 46,Duterte
IMF cuts global growth estimate to 3.3% as world economy loses steam,Sad, Page: 46,Duterte
Inflation eases further to 3.3% in March 2019,Happy, Page: 46,Duterte
Philippine economy may be one of few winners in 2019 regional slowdown,Happy, Page: 46,Duterte
'Precarious' global rebound expected in late 2019 – IMF's Lagarde,People are divided, Page: 46,Duterte
World Bank cuts 2019 Philippine growth outlook again,Afraid, Page: 46,Duterte
BOI-approved investments in Q1 up by 60%,Happy, Page: 46,Duterte
Residential property prices inch up in Q4 2018 – BSP,Happy, Page: 46,Duterte
Election fever boosts business confidence,Happy, Page: 47,Duterte
Eurozone 'not resilient enough' to weather another economic crisis – IMF chief,Amused, Page: 47,Duterte
Agricultural trade deficit expands in Q4 2018,Angry, Page: 47,Duterte
Approved investments down in January-February 2019,Happy, Page: 47,Duterte
Apple's Tim Cook urges China to continue to open up its economy,Don't Care, Page: 47,Duterte
Bangko Sentral keeps interest rates unchanged,Amused, Page: 47,Duterte
U.S. Fed now expects no rate hikes in 2019,People are divided, Page: 47,Duterte
Trump: China tariffs may remain for 'substantial period',Happy, Page: 47,Duterte
Budget surplus widens to P44.5 billion under reenacted budget,Sad, Page: 47,Duterte
Fed to hold fire on interest rates as world economy slows,Afraid, Page: 47,Duterte
Trump expects China trade war decision within 4 weeks,Inspired, Page: 48,Duterte
UK slashes 2019 economic growth forecast – budget,Happy, Page: 48,Duterte
UAE regrets inclusion in EU tax blacklist,People are divided, Page: 48,Duterte
Budget fiasco pushes economic team to lower growth target,Angry, Page: 48,Duterte
NEDA warns reenacted budget to really hurt economy,Angry, Page: 48,Duterte
Another miss: 2018 foreign direct investments dip by $500 million,Sad, Page: 48,Duterte
Turkey tumbles into recession as polls loom,Sad, Page: 48,Duterte
China will not devalue renminbi to spur exports – central bank chief,Inspired, Page: 48,Duterte
BOC Manila exceeds February target by P5M,Happy, Page: 48,Duterte
Philippine labor force participation dips in January 2019,Sad, Page: 48,Duterte
U.S. trade deficit surges to 10-year high in 2018,People are divided, Page: 49,Duterte
"OECD cuts global growth forecast over trade, Brexit uncertainty",Don't Care, Page: 49,Duterte
"U.S. to end preferential trade status for India, Turkey",Amused, Page: 49,Duterte
Finally! Inflation in February 2019 falls within target at 3.8%,Happy, Page: 49,Duterte
China’s 2018 investment pledges to PH grow 20 times,Angry, Page: 49,Duterte
"Philippines can meet own rice demand, says crop expert",Sad, Page: 49,Duterte
9 reasons why the Philippines is ripe for business in 2019,Happy, Page: 49,Duterte
Rising 'above serial underspending’? Budget gap widens in 2018,Happy, Page: 49,Duterte
"DTI, antitrust body to strengthen market competition in new partnership",Amused, Page: 49,Duterte
DOF ranks accuracy of analysts' GDP forecasts,Amused, Page: 49,Duterte
Butterfly effect: How rice tariffication bill affects everyone,Sad, Page: 50,Duterte
"Philippine exports, imports nosedive in December 2018",Sad, Page: 50,Duterte
UK posts slowest growth in 6 years as Brexit looms,Amused, Page: 50,Duterte
Approved investments hit P97.9 billion in January 2019,Happy, Page: 50,Duterte
IMF warns of global economic 'storm' as growth undershoots,Afraid, Page: 50,Duterte
Bangko Sentral sees 'more manageable' inflation in 2019,Happy, Page: 50,Duterte
Media made inflation worse? Economic team never flagged it until now,Amused, Page: 50,Duterte
World Bank leadership search likely to end with U.S. candidate – again,People are divided, Page: 50,Duterte
Improve agriculture sector to keep inflation low – economic experts,Happy, Page: 50,Duterte
Inflation slows down further to 4.4% in January 2019,Happy, Page: 50,Duterte
BIR sets higher collection goal in 2019 after missing 2018 target,Amused, Page: 51,Duterte
"China vows increased U.S. imports, IP protection at trade talks",Amused, Page: 51,Duterte
U.S. banks shifting some London staff ahead of Brexit deadline,Amused, Page: 51,Duterte
Eurozone equities falter as Italy enters recession,Afraid, Page: 51,Duterte
"U.S., China resume trade talks with a chill in the air",Amused, Page: 51,Duterte
Reenacted budget for entire 2019? Bad news for economy,Inspired, Page: 51,Duterte
Businesses struggle as cracks appear in China's economy,Inspired, Page: 51,Duterte
"Economic growth inches up to 6.1% in Q4, but misses 2018 target",Sad, Page: 51,Duterte
IN CHARTS: Inflation crisis not yet over for poorest Filipinos,Angry, Page: 51,Duterte
"China, Europe follow Brazil's Bolsonaro onto Davos stage",Happy, Page: 51,Duterte
Creation of Bangsamoro region to spur economic growth – NEDA,Happy, Page: 52,Duterte
China's economy grew at slowest pace in 28 years in 2018,Happy, Page: 52,Duterte
"Trump grounds House speaker, scraps Davos trip amid shutdown",Amused, Page: 52,Duterte
"Elections, infra push to boost PH economy in 2019 – First Metro",Inspired, Page: 52,Duterte
U.S. shutdown sends economy into uncharted waters,Angry, Page: 52,Duterte
UK retail sector suffers as shoppers lack Christmas cheer,Don't Care, Page: 52,Duterte
Pernia worried about weak Philippine exports,Sad, Page: 52,Duterte
World Bank warns brewing trade storm jeopardizes global economy,Happy, Page: 52,Duterte
Inflation cools down to 5.1% in December 2018,Happy, Page: 52,Duterte
Hong Kong leads Asia markets rout as 2019 starts on sour note,People are divided, Page: 52,Duterte
Customs hits target revenues in 2018,Happy, Page: 53,Duterte
NEDA: Japan still Philippines' top ODA provider,Happy, Page: 53,Duterte
"Consumer, gov't spending to lift PH economy in 2019 – PCCI",Happy, Page: 53,Duterte
DOF blames 'faulty' forecasts for high inflation in 2018,Angry, Page: 53,Duterte
Sulu gets first outside investment with food and beverage company,Happy, Page: 53,Duterte
Bangko Sentral hits pause on interest rates,Happy, Page: 53,Duterte
NEDA asks gov’t to support exports as trade gap worsens,Angry, Page: 53,Duterte
How high inflation exposed cracks in governance,Angry, Page: 53,Duterte
Trump says China trade talks 'going very well',Afraid, Page: 53,Duterte
[ANALYSIS] Will rice tariffication live up to its promise?,Annoyed, Page: 54,Duterte
Unemployment inches up in October 2018,Don't Care, Page: 54,Duterte
Inflation eases to 6% in November 2018,Happy, Page: 54,Duterte
"Philippines to meet budget deficit target in 2018, says DOF",Happy, Page: 54,Duterte
IN CHARTS: Don't credit China for Philippine growth just yet,Angry, Page: 54,Duterte
Foreign direct investments for January to August 2018 up by 31%,Happy, Page: 54,Duterte
Japan economy shrinks in Q3 as natural disasters hit,Sad, Page: 54,Duterte
Gulf economy recovering but faces oil volatility – IMF,Angry, Page: 54,Duterte
Philippine economy slows down to 6.1% in Q3 2018,Angry, Page: 54,Duterte
Mindanao inflation rate remains higher than national average,Annoyed, Page: 55,Duterte
Economic team urges agriculture dept to solve food supply problems,Angry, Page: 55,Duterte
Inflation steady at 6.7% in October 2018,Angry, Page: 55,Duterte
PH slips 11 notches in World Bank's ease of doing business ranking,Sad, Page: 55,Duterte
Inflation likely peaked in Q3 2018 – Bangko Sentral,Afraid, Page: 55,Duterte
China leads the way as world's billionaires get richer,Angry, Page: 55,Duterte
Poorest Filipinos feel inflation at 8% in August 2018,Angry, Page: 55,Duterte
"Chinese Q3 growth hits 9-year low as debt, trade row drag",Happy, Page: 55,Duterte
Inflation rises to 6.2% in Q3 2018,Angry, Page: 55,Duterte
"China not manipulating currency but lacks transparency, U.S. says",Amused, Page: 55,Duterte
Nearly half the world lives on less than $5.50 a day – World Bank,Sad, Page: 56,Duterte
"Philippines' crime, infra among worst globally – World Economic Forum",Sad, Page: 56,Duterte
"Philippines' high inflation also good, says Bangko Sentral official",Angry, Page: 56,Duterte
"Inflation up, GDP down: Economic managers revise PH outlook",Angry, Page: 56,Duterte
"Seeds of next global financial crisis being sown, top officials warn",Afraid, Page: 56,Duterte
Foreign direct investments soar in July 2018 despite economic tensions,Happy, Page: 56,Duterte
China is top PH trade partner in August 2018,Angry, Page: 56,Duterte
"IMF cuts global growth forecast to 3.7% for 2018, 2019 as risks rise",Afraid, Page: 56,Duterte
"IN CHARTS: Carinderia, sari-sari store owners feel pinch of inflation",Afraid, Page: 56,Duterte
Inflation in September 2018 strains Filipinos' budget at 6.7%,Angry, Page: 56,Duterte
Persistent high inflation may slow down poverty reduction – World Bank,Angry, Page: 57,Duterte
World Bank downgrades 2018 Philippine economic outlook,Happy, Page: 57,Duterte
Typhoon Ompong may have pushed September 2018 inflation to over 7%,Sad, Page: 57,Duterte
World Bank pitches ways to boost Philippine economic growth,Happy, Page: 57,Duterte
Trade wars hint at 'deeper economic malaise' – U.N.,Don't Care, Page: 57,Duterte
U.S. Fed raises benchmark interest rate,Happy, Page: 57,Duterte
"Philippine peso, stocks sink further",Sad, Page: 57,Duterte
"ADB cuts Philippine growth forecast, expects inflation to hit harder",Sad, Page: 57,Duterte
"Philippine peso dips to fresh 13-year low, bloodbath at PSE",Angry, Page: 57,Duterte
Trump's tariffs on $200 billion of Chinese imports kick in,Happy, Page: 57,Duterte
Philippine peso sinking to P58 vs $1 'unlikely' – Diokno,Angry, Page: 58,Duterte
Philippines to become upper-middle income country by 2019 – Pernia,Angry, Page: 58,Duterte
OFW remittances slow down in January-July 2018,Angry, Page: 58,Duterte
"Philippine peso to hit P58 vs $1, inflation to jump – Capital Economics",Angry, Page: 58,Duterte
"Food crisis, inflation due to lack of gov't direction – groups",Angry, Page: 58,Duterte
Philippine peso plummets to P54 vs $1,Angry, Page: 58,Duterte
Duterte may issue EO to address inflation,Angry, Page: 58,Duterte
Trade deficit balloons by 171% in July 2018,Angry, Page: 58,Duterte
Duterte wants ancient barter trade to tame inflation,Angry, Page: 58,Duterte
"Businessmen say inflation 'manageable,' but gov't must act now",Angry, Page: 58,Duterte
Pernia denies manipulating August 2018 inflation data,Angry, Page: 59,Duterte
House wants National Price Coordinating Council to submit report on inflation,Amused, Page: 59,Duterte
Consumers turn gloomy over Philippine economy in Q3 2018,Angry, Page: 59,Duterte
LOOK: Cooking pinakbet under sizzling inflation,Angry, Page: 59,Duterte
Business confidence in Q3 sinks to 8-year low,Happy, Page: 59,Duterte
Philippine peso weakens further to 13-year low,Angry, Page: 59,Duterte
Robredo to Duterte gov't: 'Stop dismissing inflation as sign of growing economy',Inspired, Page: 59,Duterte
IN CHARTS: This is how bad August 2018 inflation is in regions,Angry, Page: 59,Duterte
Gov't 'did little or nothing' to stop 6.4% August inflation,Angry, Page: 59,Duterte
EXPLAINER: How inflation affects you,Sad, Page: 59,Duterte
"Inflation surges to 6.4% in August 2018, exceeds estimates",Angry, Page: 60,Duterte
PH among 'top performers' in Asia on sustainable trade,Happy, Page: 60,Duterte
Inflation expected to jump even higher in August 2018,Angry, Page: 60,Duterte
NEDA pitches roadmap for federalism shift,Angry, Page: 60,Duterte
[ANALYSIS] Mere hiccups? Let’s be more honest about the economy,Angry, Page: 60,Duterte
